RA1,Dec1,RA2,Dec2
121.94628,59.66926,128.62208,59.60647
128.62208,59.60647,128.28746,46.60798
128.28746,46.60798,139.44514,46.51536
139.44514,46.51536,139.37223,41.51564
139.37223,41.51564,145.57272,41.47192
290.04449,27.71567,290.07117,25.71581
290.07117,25.71581,284.18764,25.65216
109.46199,-85.24539,48.50418,-84.58779
48.50418,-84.58779,50.24858,-82.09569
98.47545,-70.09696,97.84002,-75.09342
97.84002,-75.09342,114.27175,-75.26991
111.89672,-82.75781,109.46199,-85.24539
321.70370,-27.49797,321.79356,-36.49764
307.01804,-45.11941,306.76535,-27.62056
95.11351,-0.04932,95.22731,9.95003
95.22731,9.95003,96.22697,9.93878
96.22697,9.93878,96.25031,11.93865
122.63020,-11.34248,111.87018,-11.23395
88.86304,-10.97946,88.94356,-3.97992
88.94356,-3.97992,95.06838,-4.04907
95.06838,-4.04907,95.11351,-0.04932
242.00136,-42.31383,248.34139,-42.24953
248.34139,-42.24953,248.41185,-45.74917
248.84287,-60.24692,232.36954,-60.40577
273.90162,-74.97795,322.96705,-74.49345
351.86117,-74.36074,1.45864,-74.35271
245.49020,-0.27618,245.44928,3.72361
281.35169,6.36956,275.16777,6.30033
275.16777,6.30033,275.18766,4.55045
275.18766,4.55045,277.81273,4.57995
277.81273,4.57995,277.82962,3.08005
277.82962,3.08005,275.20463,3.05054
275.20463,3.05054,275.23845,0.05073
275.23845,0.05073,268.98880,-0.01983
268.98880,-0.01983,269.03405,-4.01957
269.03405,-4.01957,271.03404,-3.99698
271.03404,-3.99698,271.10291,-9.99659
271.10291,-9.99659,266.60291,-10.04739
266.60291,-10.04739,266.62238,-11.71395
266.62238,-11.71395,265.37212,-11.72802
265.37212,-11.72802,265.35268,-10.06146
265.35268,-10.06146,259.10131,-10.13126
259.10131,-10.13126,259.17137,-16.13087
259.17137,-16.13087,265.67397,-16.05825
265.67397,-16.05825,265.86146,-30.05719
265.86146,-30.05719,253.09597,-30.19818
253.09597,-30.19818,253.02191,-24.78191
253.02191,-24.78191,245.75864,-24.85814
245.75864,-24.85814,245.69500,-19.52514
245.69500,-19.52514,247.32252,-19.50840
247.32252,-19.50840,247.31094,-18.50846
247.31094,-18.50846,245.68357,-18.52520
245.68357,-18.52520,245.57254,-8.27576
245.57254,-8.27576,240.31884,-8.32821
240.27207,-3.57844,245.52346,-3.52601
245.52346,-3.52601,245.49020,-0.27618
70.73997,0.22145,70.90884,15.72056
70.90884,15.72056,76.16343,15.66392
76.16343,15.66392,76.16934,16.16389
76.16934,16.16389,81.67257,16.10309
81.67257,16.10309,81.66654,15.60312
81.66654,15.60312,85.66789,15.55828
85.66789,15.55828,85.63201,12.55848
85.63201,12.55848,88.13233,12.53031
88.13233,12.53031,88.19909,18.02993
88.19909,18.02993,87.19891,18.04121
87.19891,18.04121,87.26103,22.87419
87.26103,22.87419,90.01129,22.84315
272.48509,-56.98596,307.28783,-56.61817
317.07864,19.96891,320.08758,19.99166
320.08758,19.99166,320.05342,23.99153
320.05342,23.99153,322.56302,24.00947
322.56302,24.00947,322.52406,28.50934
3.62647,21.64653,3.62118,13.14653
3.62118,13.14653,1.49066,13.14729
1.49066,13.14729,1.49028,10.64729
1.49028,10.64729,358.98508,10.64704
358.98508,10.64704,358.98596,8.14704
358.98596,8.14704,342.71128,8.11560
342.71128,8.11560,342.73067,2.61563
42.49623,31.15058,42.53158,34.48378
42.53158,34.48378,40.26847,34.50034
40.26847,34.50034,40.29842,37.25023
40.29842,37.25023,39.54347,37.25558
69.34740,30.90472,52.29119,31.07057
351.57467,-39.36100,26.25626,-39.41634
21.12204,-57.89389,351.65499,-57.86093
351.65499,-57.86093,351.64574,-56.36094
90.88504,-43.00501,90.69637,-50.75394
102.68927,-64.14117,98.92425,-64.09946
22.77264,33.60042,22.74390,28.60049
22.74390,28.60049,26.64056,28.58272
26.64056,28.58272,26.62198,25.58276
346.56351,-24.87248,346.60701,-36.37242
126.82710,-17.38200,126.59523,-37.13095
126.59523,-37.13095,126.49715,-43.38050
126.49715,-43.38050,120.96552,-43.32840
120.96552,-43.32840,120.80136,-51.07760
141.68238,-37.25374,126.59523,-37.13095
284.24527,21.23581,290.00198,21.29811
290.00198,21.29811,290.02521,19.38157
290.02521,19.38157,298.78858,19.47203
298.78858,19.47203,298.76494,21.55524
298.76494,21.55524,305.02904,21.61564
305.02904,21.61564,305.03707,20.86568
307.01804,-45.11941,289.61106,-45.29399
269.47649,-37.01707,269.36243,-30.01772
269.36243,-30.01772,265.86146,-30.05719
265.67397,-16.05825,275.42346,-15.94823
275.42346,-15.94823,284.66811,-15.84520
284.66811,-15.84520,284.62191,-11.87879
275.42346,-15.94823,275.28358,-3.94901
275.28358,-3.94901,280.28274,-3.89297
227.74051,-0.44153,227.67405,7.55820
