RA1,Dec1,RA2,Dec2
203.95421,7.40512,203.92179,14.40505
203.92179,14.40505,203.85212,27.90490
203.85212,27.90490,210.68982,27.93957
210.68982,27.93957,210.67312,30.18952
210.67312,30.18952,211.79167,30.19597
211.79167,30.19597,211.61486,47.94545
211.61486,47.94545,211.50850,54.94514
211.50850,54.94514,217.18110,54.98107
217.18110,54.98107,229.53196,55.07650
229.53196,55.07650,229.59367,52.57677
229.59367,52.57677,237.02585,52.64400
237.02585,52.64400,237.06318,51.14418
237.06318,51.14418,237.28722,39.64524
237.28722,39.64524,232.56347,39.60174
232.56347,39.60174,232.65957,32.60217
232.65957,32.60217,228.92719,32.56969
228.92719,32.56969,229.00491,25.57002
229.00491,25.57002,227.51048,25.55752
227.51048,25.55752,227.67405,7.55820
65.00092,-39.72132,65.05062,-36.72157
65.05062,-36.72157,69.78436,-36.77083
69.78436,-36.77083,69.89063,-29.77140
69.89063,-29.77140,71.63670,-29.78998
71.63670,-29.78998,71.67475,-27.04018
71.67475,-27.04018,73.67099,-27.06166
73.67099,-27.06166,76.16694,-27.08883
76.16694,-27.08883,75.90608,-42.83741
75.90608,-42.83741,73.41344,-42.81027
73.41344,-42.81027,73.33877,-46.30986
73.33877,-46.30986,68.35924,-46.25676
68.35924,-46.25676,68.30170,-48.75646
68.30170,-48.75646,64.82044,-48.72039
64.82044,-48.72039,65.00092,-39.72132
72.66692,52.70518,52.14988,52.90673
52.14988,52.90673,52.21373,55.40646
52.21373,55.40646,49.68777,55.42816
49.68777,55.42816,49.74294,57.42792
49.74294,57.42792,48.73123,57.43638
48.73123,57.43638,49.18966,68.43448
49.18966,68.43448,54.02500,68.39287
54.02500,68.39287,55.01747,77.38845
55.01747,77.38845,56.43211,77.37573
56.43211,77.37573,57.17593,80.37235
57.17593,80.37235,80.10006,80.13962
80.10006,80.13962,83.85556,85.11901
83.85556,85.11901,127.43123,84.64018
127.43123,84.64018,129.74124,86.12893
129.74124,86.12893,213.28742,85.97164
213.28742,85.97164,216.82769,79.48403
216.82769,79.48403,203.80196,79.40755
203.80196,79.40755,204.12712,76.40831
204.12712,76.40831,195.76302,76.37583
195.76302,76.37583,174.30287,76.35694
174.30287,76.35694,174.39435,79.35688
174.39435,79.35688,162.62924,79.38674
162.62924,79.38674,162.89931,81.38624
162.89931,81.38624,141.87853,81.50620
141.87853,81.50620,140.40185,73.01176
140.40185,73.01176,122.83892,73.16490
122.83892,73.16490,121.94628,59.66926
121.94628,59.66926,107.56111,59.81851
107.56111,59.81851,107.65269,61.81801
107.65269,61.81801,94.20392,61.96778
94.20392,61.96778,93.94685,55.96923
140.28851,6.50761,122.80441,6.65669
122.80441,6.65669,120.43122,6.67972
120.43122,6.67972,120.46130,9.67957
120.46130,9.67957,118.71299,9.69689
118.71299,9.69689,118.74939,13.19671
118.74939,13.19671,118.82007,19.69635
118.82007,19.69635,119.94281,19.68520
119.94281,19.68520,120.03732,27.68473
120.03732,27.68473,121.78205,27.66764
121.78205,27.66764,121.85398,33.16729
121.85398,33.16729,140.51367,33.00678
140.51367,33.00678,140.28851,6.50761
181.48315,33.35271,181.48046,44.35271
181.48046,44.35271,182.71653,44.35304
182.71653,44.35304,182.70935,52.35304
182.70935,52.35304,203.65561,52.40446
203.65561,52.40446,203.70462,47.90457
203.70462,47.90457,211.61486,47.94545
203.85212,27.90490,200.12326,27.88955
200.12326,27.88955,200.10578,31.38951
200.10578,31.38951,186.44884,31.35588
186.44884,31.35588,186.44567,33.35588
186.44567,33.35588,181.48315,33.35271
93.11291,-11.02747,111.87018,-11.23395
111.87018,-11.23395,111.59470,-33.23250
111.59470,-33.23250,99.82298,-33.10447
99.82298,-33.10447,92.81852,-33.02581
92.81852,-33.02581,92.90547,-27.27630
92.90547,-27.27630,93.11291,-11.02747
122.73705,-0.34299,109.48763,-0.20802
109.48763,-0.20802,109.50368,1.29189
109.50368,1.29189,106.75412,1.32154
106.75412,1.32154,106.79772,5.32130
106.79772,5.32130,106.54776,5.32402
106.54776,5.32402,106.59759,9.82375
106.59759,9.82375,106.62582,12.32359
106.62582,12.32359,114.11915,12.24384
114.11915,12.24384,114.13006,13.24378
114.13006,13.24378,118.74939,13.19671
122.80441,6.65669,122.73705,-0.34299
329.64665,-24.94614,321.68148,-24.99804
321.68148,-24.99804,321.70370,-27.49797
321.70370,-27.49797,306.76535,-27.62056
306.76535,-27.62056,301.78205,-27.66764
301.78205,-27.66764,301.60559,-11.70183
170.05671,-57.13631,169.99043,-64.63624
169.99043,-64.63624,169.77852,-75.63602
169.77852,-75.63602,135.26402,-75.46084
135.26402,-75.46084,136.05338,-64.46393
136.05338,-64.46393,102.68927,-64.14117
102.68927,-64.14117,102.97539,-58.14275
102.97539,-58.14275,97.96042,-58.08708
97.96042,-58.08708,98.07124,-55.08770
98.07124,-55.08770,93.06482,-55.03143
93.06482,-55.03143,93.14567,-52.53189
93.14567,-52.53189,90.64504,-52.50365
90.64504,-52.50365,90.69637,-50.75394
90.69637,-50.75394,120.80136,-51.07760
120.80136,-51.07760,123.31943,-51.10173
123.31943,-51.10173,123.26273,-53.35146
123.26273,-53.35146,127.54913,-53.39095
127.54913,-53.39095,127.50993,-54.89077
127.50993,-54.89077,133.31853,-54.94075
133.31853,-54.94075,133.26601,-56.94054
133.26601,-56.94054,166.24296,-57.12707
166.24296,-57.12707,170.05671,-57.13631
344.24825,53.12109,344.21212,56.87103
344.21212,56.87103,344.17964,59.70431
344.17964,59.70431,348.76368,59.71684
348.76368,59.71684,348.72346,63.63347
348.72346,63.63347,355.11369,63.64429
355.11369,63.64429,355.09523,66.64428
355.09523,66.64428,6.63838,66.64401
6.63838,66.64401,6.78413,77.64393
6.78413,77.64393,55.01747,77.38845
48.73123,57.43638,38.60224,57.51323
38.60224,57.51323,38.63933,59.01310
38.63933,59.01310,30.64183,59.06268
30.64183,59.06268,30.62146,58.06274
30.62146,58.06274,27.44682,58.07947
27.44682,58.07947,27.38980,54.57961
27.38980,54.57961,22.31766,54.60268
22.31766,54.60268,22.27315,50.60277
166.37538,-35.62726,185.27484,-35.64534
185.27484,-35.64534,185.27222,-33.64534
185.27222,-33.64534,190.30915,-33.63841
190.30915,-33.63841,190.30009,-30.13842
190.30009,-30.13842,225.49849,-29.96073
225.49849,-29.96073,225.65212,-42.46013
225.65212,-42.46013,214.31277,-42.54040
214.31277,-42.54040,214.50425,-55.53980
214.50425,-55.53980,220.07647,-55.50282
220.07647,-55.50282,220.33642,-64.50190
220.33642,-64.50190,204.52531,-64.59360
204.52531,-64.59360,194.30064,-64.62972
194.30064,-64.62972,194.20472,-55.62985
194.20472,-55.62985,178.95980,-55.64704
178.95980,-55.64704,178.94696,-64.64704
178.94696,-64.64704,169.99043,-64.63624
166.24296,-57.12707,166.35406,-40.37723
300.53334,59.82630,300.45152,61.82590
300.45152,61.82590,306.77278,61.88518
306.77278,61.88518,306.49933,67.38395
306.49933,67.38395,310.31127,67.41748
310.31127,67.41748,309.60544,75.41446
309.60544,75.41446,301.91964,75.34511
301.91964,75.34511,300.80813,80.33986
300.80813,80.33986,313.80350,80.45307
313.80350,80.45307,309.21999,86.43496
309.21999,86.43496,308.86364,86.60021
308.86364,86.60021,343.64618,86.79012
343.64618,86.79012,339.86678,88.61819
339.86678,88.61819,134.90743,87.60361
134.90743,87.60361,129.74124,86.12893
344.21212,56.87103,335.82926,56.83808
335.82926,56.83808,335.84821,55.58812
335.84821,55.58812,333.05763,55.57436
333.05763,55.57436,333.09210,53.32445
333.09210,53.32445,330.55917,53.31079
330.55917,53.31079,330.52476,55.39403
330.52476,55.39403,309.77317,55.24412
309.77317,55.24412,309.58033,61.32662
309.58033,61.32662,308.61827,61.31821
308.61827,61.31821,308.67009,59.90176
308.67009,59.90176,300.53334,59.82630
6.48905,0.64409,6.49132,2.64409
6.49132,2.64409,31.50191,2.55633
31.50191,2.55633,31.54831,10.47286
50.82729,10.33244,50.74049,0.41615
50.74049,0.41615,50.72534,-1.33379
50.72534,-1.33379,41.22771,-1.25767
41.22771,-1.25767,41.05073,-23.89035
41.05073,-23.89035,26.36334,-23.79993
26.36334,-23.79993,26.35674,-24.91659
26.35674,-24.91659,358.99799,-24.85296
358.99101,-6.35296,6.48111,-6.35590
6.48111,-6.35590,6.48905,0.64409
111.89672,-82.75781,114.27175,-75.26991
114.27175,-75.26991,135.26402,-75.46084
169.77852,-75.63602,207.58101,-75.58041
208.80391,-83.07741,111.89672,-82.75781
220.07647,-55.50282,227.91865,-55.44286
227.91865,-55.44286,232.21373,-55.40646
232.21373,-55.40646,232.36954,-60.40577
232.36954,-60.40577,232.40655,-61.40561
232.40655,-61.40561,229.87377,-61.42737
229.87377,-61.42737,229.97762,-64.01026
229.97762,-64.01026,226.16893,-64.04141
226.16893,-64.04141,226.35757,-67.95733
226.35757,-67.95733,223.80776,-67.97707
223.80776,-67.97707,223.95852,-70.47650
207.28501,-70.58114,207.10671,-65.58157
207.10671,-65.58157,204.55046,-65.59355
204.55046,-65.59355,204.52531,-64.59360
76.16694,-27.08883,92.90547,-27.27630
99.82298,-33.10447,99.64170,-43.10346
99.64170,-43.10346,90.88504,-43.00501
90.88504,-43.00501,75.90608,-42.83741
179.49224,13.35281,179.49652,28.35281
179.49652,28.35281,181.48415,28.35271
181.48415,28.35271,181.48315,33.35271
203.92179,14.40505,193.94988,14.36982
193.94988,14.36982,193.95262,13.36983
193.95262,13.36983,179.49224,13.35281
269.47649,-37.01707,289.44974,-36.79485
289.44974,-36.79485,289.61106,-45.29399
289.61106,-45.29399,272.14724,-45.48786
269.64743,-45.51611,269.47649,-37.01707
237.28722,39.64524,245.99675,39.73153
245.99675,39.73153,246.19005,26.73253
246.19005,26.73253,243.69650,26.70710
243.69650,26.70710,243.70903,25.70717
243.70903,25.70717,241.71417,25.68722
241.71417,25.68722,229.00491,25.57002
194.01840,-11.63009,194.04970,-22.63005
194.04970,-22.63005,190.28263,-22.63844
190.28263,-22.63844,190.28820,-25.13843
190.28820,-25.13843,178.97950,-25.14704
178.97950,-25.14704,178.98472,-11.64704
178.98472,-11.64704,194.01840,-11.63009
162.71661,-6.61561,174.23066,-6.64317
174.23066,-6.64317,178.98649,-6.64704
178.98649,-6.64704,178.98472,-11.64704
178.97950,-25.14704,163.90220,-25.11972
163.90220,-25.11972,163.92318,-19.61976
163.92318,-19.61976,162.66850,-19.61552
162.66850,-19.61552,162.69869,-11.61558
162.69869,-11.61558,162.71661,-6.61561
194.30064,-64.62972,178.94696,-64.64704
290.04449,27.71567,290.00972,30.21548
290.00972,30.21548,291.51301,30.23141
291.51301,30.23141,291.41429,36.73089
291.41429,36.73089,292.04118,36.73748
292.04118,36.73748,291.91463,43.73682
291.91463,43.73682,288.40234,43.69953
288.40234,43.69953,288.31420,47.69905
288.31420,47.69905,287.05966,47.68554
287.05966,47.68554,286.83264,55.68432
286.83264,55.68432,291.85884,55.73784
291.85884,55.73784,291.77050,58.23738
291.77050,58.23738,297.05865,58.29168
297.05865,58.29168,297.00169,59.79140
297.00169,59.79140,300.53334,59.82630
330.55917,53.31079,330.67398,44.56112
330.67398,44.56112,329.79055,44.55610
329.79055,44.55610,329.79337,44.30610
329.79337,44.30610,329.28873,44.30318
329.28873,44.30318,329.36724,36.55341
329.36724,36.55341,327.22730,36.54053
327.22730,36.54053,327.29730,28.54074
327.29730,28.54074,322.52406,28.50934
322.52406,28.50934,314.99039,28.45269
314.99039,28.45269,314.97987,29.45265
314.97987,29.45265,296.16327,29.27953
296.16327,29.27953,296.18305,27.77963
296.18305,27.77963,290.04449,27.71567
303.45851,16.10060,305.08629,16.11591
305.08629,16.11591,305.03707,20.86568
305.03707,20.86568,309.79905,20.90871
309.79905,20.90871,309.80901,19.90875
309.80901,19.90875,317.07864,19.96891
317.07864,19.96891,317.14338,12.30249
317.14338,12.30249,314.51397,12.28155
314.51397,12.28155,314.56282,6.44842
314.56282,6.44842,313.93726,6.44330
313.93726,6.44330,313.97039,2.44344
58.26124,-52.82248,58.31556,-50.65607
58.31556,-50.65607,62.03903,-50.69255
62.03903,-50.69255,62.08673,-48.69278
62.08673,-48.69278,64.82044,-48.72039
68.30170,-48.75646,68.16726,-53.75576
68.16726,-53.75576,75.62942,-53.83589
75.62942,-53.83589,75.50916,-57.33523
75.50916,-57.33523,82.98231,-57.41821
82.98231,-57.41821,82.83238,-60.91737
82.83238,-60.91737,90.32082,-61.00182
90.32082,-61.00182,90.16141,-64.00092
90.16141,-64.00092,98.92425,-64.09946
98.92425,-64.09946,98.47545,-70.09696
98.47545,-70.09696,68.59239,-69.76453
68.59239,-69.76453,68.79025,-67.26557
68.79025,-67.26557,69.23750,-58.76794
69.23750,-58.76794,65.51542,-58.72905
65.51542,-58.72905,65.60464,-56.22951
65.60464,-56.22951,60.64412,-56.17948
60.64412,-56.17948,60.74181,-52.84663
60.74181,-52.84663,58.26124,-52.82248
195.76302,76.37583,196.02104,69.37623
196.02104,69.37623,210.60474,69.44108
210.60474,69.44108,210.76291,65.44154
210.76291,65.44154,235.30580,65.63010
235.30580,65.63010,235.04595,69.62888
235.04595,69.62888,247.85124,69.75670
247.85124,69.75670,247.27335,74.75366
247.27335,74.75366,261.60328,74.91047
261.60328,74.91047,260.37551,79.90358
260.37551,79.90358,267.81976,79.98768
267.81976,79.98768,262.29249,85.95636
262.29249,85.95636,309.21999,86.43496
287.05966,47.68554,274.28331,47.54394
274.28331,47.54394,274.20455,50.54350
274.20455,50.54350,255.73111,50.33645
255.73111,50.33645,255.70365,51.33630
255.70365,51.33630,237.06318,51.14418
217.18110,54.98107,216.98934,62.48042
216.98934,62.48042,203.49863,62.40411
203.49863,62.40411,203.47713,63.40406
203.47713,63.40406,181.47192,63.35271
181.47192,63.35271,181.46992,65.85271
181.46992,65.85271,171.72159,65.86087
171.72159,65.86087,171.82687,72.86077
171.82687,72.86077,140.40185,73.01176
317.14338,12.30249,318.14516,12.31021
318.14516,12.31021,318.13982,12.97686
318.13982,12.97686,321.39591,13.00093
321.39591,13.00093,321.47259,2.50121
55.24042,0.37596,70.73997,0.22145
70.73997,0.22145,71.48993,0.21347
71.48993,0.21347,71.44721,-3.78630
71.44721,-3.78630,77.69540,-3.85408
77.69540,-3.85408,77.61695,-10.85365
77.61695,-10.85365,75.11855,-10.82629
75.11855,-10.82629,75.07854,-14.32608
75.07854,-14.32608,73.82953,-14.31252
73.82953,-14.31252,73.67099,-27.06166
65.00092,-39.72132,59.02834,-39.66190
59.02834,-39.66190,58.95902,-43.66156
58.95902,-43.66156,52.25127,-43.59924
52.25127,-43.59924,52.21614,-45.59908
